SegmentedFilename,FishDetected,ScaleDetected,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio
2024-05-28_09_43_50_(13194)_sardine_input_(1).png,yes,yes,15.0,3.0,15.0,15.0,2.0,0.03275109170305677,34.0,39.0,0.2,1.025974025974026,0.11871744791666666
2024-05-28_09_43_50_(13194)_sardine_input_(2).png,yes,yes,15.0,2.0,15.0,15.0,2.0,0.03275109170305677,37.0,31.0,0.13333333333333333,1.0172043010752687,0.09448567708333333
2024-05-28_09_44_09_(13195)_sardine_input_(0).png,yes,yes,14.0,3.0,14.0,15.0,2.0,0.031512605042016806,33.0,40.0,0.21428571428571427,1.031111111111111,0.13411783854166667
2024-05-28_09_44_09_(13195)_sardine_input_(1).png,yes,yes,12.0,3.0,13.0,15.0,2.0,0.031512605042016806,30.0,34.0,0.25,1.0345679012345679,0.1142529296875
2024-05-28_09_44_09_(13195)_sardine_input_(2).png,yes,yes,14.0,3.0,15.0,15.0,2.0,0.031512605042016806,33.0,40.0,0.21428571428571427,1.0278372591006424,0.1321826171875
2024-05-28_09_46_15_(13196)_sardine_input_(0).png,yes,yes,14.0,3.0,14.0,15.0,2.0,0.031512605042016806,32.0,35.0,0.21428571428571427,1.0314606741573034,0.11629720052083334
2024-05-28_09_46_15_(13196)_sardine_input_(1).png,yes,yes,13.0,3.0,13.0,15.0,2.0,0.031512605042016806,30.0,32.0,0.23076923076923078,1.0281030444964872,0.106162109375
2024-05-28_09_46_15_(13196)_sardine_input_(2).png,yes,yes,14.0,4.0,14.0,15.0,2.0,0.031512605042016806,32.0,34.0,0.2857142857142857,1.0380313199105144,0.11334798177083333
2024-05-28_09_46_30_(13197)_sardine_input_(0).png,yes,yes,13.0,3.0,14.0,15.0,2.0,0.031512605042016806,31.0,35.0,0.23076923076923078,1.0363636363636364,0.11594889322916667
2024-05-28_09_46_30_(13197)_sardine_input_(1).png,yes,yes,13.0,4.0,14.0,15.0,2.0,0.031512605042016806,34.0,30.0,0.3076923076923077,1.0617848970251715,0.101171875
2024-05-28_09_46_30_(13197)_sardine_input_(2).png,yes,yes,13.0,3.0,13.0,15.0,2.0,0.031512605042016806,31.0,25.0,0.23076923076923078,1.0258823529411765,0.08371256510416666
2024-05-28_09_46_44_(13198)_sardine_input_(0).png,yes,yes,14.0,3.0,15.0,15.0,1.0,0.03171247357293869,33.0,36.0,0.21428571428571427,1.0260303687635575,0.1165673828125
2024-05-28_09_46_44_(13198)_sardine_input_(1).png,yes,yes,12.0,2.0,13.0,15.0,1.0,0.03171247357293869,30.0,26.0,0.16666666666666666,1.022332506203474,0.0872607421875
2024-05-28_09_46_44_(13198)_sardine_input_(2).png,yes,yes,13.0,2.0,13.0,15.0,1.0,0.03171247357293869,32.0,23.0,0.15384615384615385,1.0165094339622642,0.07751790364583333
2024-05-28_09_46_57_(13199)_sardine_input_(0).png,yes,yes,14.0,4.0,15.0,15.0,1.0,0.03303964757709251,34.0,33.0,0.2857142857142857,1.0361990950226245,0.10126627604166667
2024-05-28_09_46_57_(13199)_sardine_input_(1).png,yes,yes,12.0,2.0,12.0,15.0,1.0,0.03303964757709251,32.0,24.0,0.16666666666666666,1.0208333333333333,0.07221028645833333
2024-05-28_09_46_57_(13199)_sardine_input_(2).png,yes,yes,15.0,3.0,16.0,15.0,1.0,0.03303964757709251,35.0,35.0,0.2,1.0167014613778707,0.1069189453125
2024-05-28_09_47_09_(13200)_sardine_input_(0).png,yes,yes,13.0,3.0,13.0,15.0,1.0,0.03164556962025317,30.0,27.0,0.23076923076923078,1.036144578313253,0.0901416015625
2024-05-28_09_47_09_(13200)_sardine_input_(1).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.03164556962025317,34.0,39.0,0.2,1.0253164556962024,0.1296337890625
2024-05-28_09_47_09_(13200)_sardine_input_(2).png,yes,yes,13.0,2.0,13.0,15.0,1.0,0.03164556962025317,30.0,27.0,0.15384615384615385,1.0213776722090262,0.089658203125
2024-05-28_09_47_21_(13201)_sardine_input_(0).png,yes,yes,13.0,3.0,13.0,15.0,1.0,0.031446540880503145,30.0,32.0,0.23076923076923078,1.0234192037470726,0.10544596354166667
2024-05-28_09_47_21_(13201)_sardine_input_(1).png,yes,yes,14.0,3.0,15.0,15.0,1.0,0.031446540880503145,34.0,32.0,0.21428571428571427,1.0235042735042734,0.106396484375
2024-05-28_09_47_21_(13201)_sardine_input_(2).png,yes,yes,13.0,3.0,14.0,15.0,1.0,0.031446540880503145,31.0,32.0,0.23076923076923078,1.0251716247139588,0.10771158854166667
2024-05-28_09_49_33_(13202)_sardine_input_(0).png,yes,yes,13.0,3.0,14.0,15.0,1.0,0.032327586206896554,33.0,26.0,0.23076923076923078,1.037914691943128,0.08150065104166666
2024-05-28_09_49_33_(13202)_sardine_input_(1).png,yes,yes,13.0,3.0,14.0,15.0,1.0,0.032327586206896554,32.0,34.0,0.23076923076923078,1.0306603773584906,0.10791666666666666
